102.129.143.86,list
107.175.73.54,list
107.179.20.204,list
109.175.107.110,list
109.95.217.242,list
114.232.194.255,list
115.226.153.176,list
116.202.22.43,list
119.74.167.169,list
122.252.253.100,list
131.153.26.188,list
131.153.26.189,list
138.3.244.208,list
142.44.128.0/17,OVH
146.70.52.46,list
154.16.192.176,list
172.107.240.26,list
176.115.102.106,list
176.215.80.25,list
176.36.75.28,list
178.163.117.211,list
178.20.142.170,list
178.72.81.231,list
181.119.30.41,list
185.177.124.224,list
185.26.63.16,list
188.132.139.129,list
188.3.187.228,list
190.11.138.163,list
190.49.124.184,list
191.101.31.95,list
191.96.150.204,list
192.142.16.11,list
194.167.0.0/16,frenchy university
194.182.67.126,list
194.87.239.144,list
212.237.228.220,list
212.237.228.225,list
213.227.154.74,list
2400:8901::/64,captcha flood
2600:3c03::/64,captcha flood
2600:3c04::/64,captcha flood
2607:5300:203:14ae::/64,list
2a01:4ff:f0:3004::/64,websocket flood
2a02:27b0:4d03:c9d0::/64,websocket flood
31.210.107.199,list
34.245.86.143,list
34.66.88.30,list
34.71.79.206,list
34.82.153.53,list
37.188.11.119,list
37.212.64.134,list
45.189.115.205,list
46.246.41.153,list
46.246.41.158,list
51.161.0.0/17,ovh
51.161.128.0/17,ovh
51.178.0.0/16,ovh
5.142.42.184,list
5.173.137.17,list
5.173.172.228,list
52.143.155.67,list
52.205.26.222,list
5.227.29.33,list
5.227.31.1,list
62.244.51.28,list
77.47.170.231,list
78.132.55.22,list
78.36.107.187,list
78.86.5.152,list
79.45.161.163,list
80.169.156.52,list
81.92.203.83,list
82.193.110.12,list
84.124.251.104,list
84.17.43.24,list
84.17.56.184,list
84.239.40.225,list
85.76.77.85,list
86.138.152.227,list
86.186.250.150,list
87.7.200.139,list
89.108.99.115,list
89.40.143.192,list
91.121.210.56,list
91.228.236.175,list
92.32.69.242,list
93.115.28.181,list
95.181.236.133,list
45.9.88.0/22,ddos230612
75.127.7.192/27,ddos230612
85.98.55.199,sch bot
2a01:cb04:60f:2900::/64,sch bot
67.255.77.34,sch bot
188.23.51.246,sch bot
78.174.247.162,sch bot
95.76.46.200,sch bot
88.231.207.77,sch bot
151.135.28.236,sch bot
2a0d:6fc2:54c0:7500::/64,ws ddos
176.231.133.107,ws ddos
80.121.26.216,sch bot
88.237.43.71,sch bot
213.109.202.66,mail scanning
2603:7080:fe3e:1700::/64,sch bot
95.25.61.218,socket spam
176.231.133.243,socket spam
77.137.79.139,socket spam
178.34.55.56,socket spam
138.204.210.102,socket spam
111.225.153.238,ddos230724
202.65.171.67,ddos230724
103.168.254.46,ddos230724
203.174.15.83,ddos230724
188.124.17.39,socket spam
88.238.8.233,socket spam
97.117.90.8,socket spam
95.24.104.84,socket spam
2001:4c4e:1824:4100::/64,sch spam
78.110.195.241,ddos230801
209.126.124.140,ddos230801
78.110.195.130,ddos230801
146.148.109.93,ddos230801
203.85.120.69,ddos230801
185.159.111.149,ddos230801
89.232.176.21,ddos230801
78.110.195.129,ddos230801
185.236.229.14,ddos230801
45.146.185.220,ddos230801
186.234.124.127,ddos230801
35.213.89.8,ddos230801
103.152.254.152,ddos230801
207.248.102.4,ddos230801
138.117.85.254,ddos230801
62.14.234.232,ddos230801
181.112.225.101,ddos230801
47.184.183.194,ddos230803
